continent,country,year,population,gdp,lifeexp,infmort,fertility
Europe,Belarus,1980,9654455,,70.57,19.4,2.08
Europe,Belarus,1985,9990966,,70.28,16,2.09
Europe,Belarus,1990,10231983,14364231695,70.5,13.5,1.89
Europe,Belarus,1995,10159731,9378825621,68.2,14.4,1.47
Europe,Belarus,2000,9952055,12736856485,68.1,11.4,1.23
Europe,Belarus,2005,9640616,18293979126,68.7,7.4,1.32
Europe,Belarus,2010,9492122,26002131603,70.2,4.7,1.46
Europe,Belarus,2015,9495826,,71,3.4,1.51
Europe,Belgium,1960,9140563,68236665814,69.59,29.5,2.6
Europe,Belgium,1965,9440279,87114872497,70.51,24.1,2.56
Europe,Belgium,1970,9664320,109689339514,70.89,20.6,2.21
Europe,Belgium,1975,9769006,130972508362,71.9,15.8,1.84
Europe,Belgium,1980,9855747,153064887077,73.18,12.2,1.63
Europe,Belgium,1985,9893499,160430138974,74.41,9.9,1.56
Europe,Belgium,1990,9978241,186769011525,76,8.3,1.58
Europe,Belgium,1995,10161914,202125809075,76.9,6.3,1.61
Europe,Belgium,2000,10268380,232672747374,77.8,4.8,1.63
Europe,Belgium,2005,10561436,251845091555,79.1,4.1,1.75
Europe,Belgium,2010,10929978,267143096398,80.1,3.6,1.84
Europe,Belgium,2015,11299192,,80.5,3.3,1.86
Americas,Belize,1960,92068,86532304,60.08,,6.5
Americas,Belize,1965,106121,110094728,62.95,,6.4
Americas,Belize,1970,122179,143130064,65.72,70.3,6.3
Americas,Belize,1975,133261,203257136,67.93,59.2,6.28
Americas,Belize,1980,144151,289162816,69.78,50.5,5.85
Americas,Belize,1985,164916,294622624,71.34,41.9,5.02
Americas,Belize,1990,187552,468300000,71.4,32.2,4.51
Americas,Belize,1995,206962,621072230.6,70.5,25.1,4.11
Americas,Belize,2000,247312,832072464.7,69,21.1,3.59
Americas,Belize,2005,283279,1081553523,70,18.5,3.12
Americas,Belize,2010,321609,1221526439,71.2,16.3,2.8
Americas,Belize,2015,359287,,71.7,14.2,2.6
Africa,Benin,1960,2431620,621797131,38.29,186.9,6.28
Africa,Benin,1965,2632360,728413252.2,40.93,170.2,6.54
Africa,Benin,1970,2907769,831774871.3,43.93,157.1,6.75
Africa,Benin,1975,3262959,888744866.1,46.93,143.5,6.93
Africa,Benin,1980,3718024,1084256208,49.34,128.7,7.03
Africa,Benin,1985,4287263,1353041433,52.33,118.9,6.97
Africa,Benin,1990,5001271,1411814142,56.1,108,6.74
Africa,Benin,1995,5985658,1737998383,56.7,97.2,6.37
Africa,Benin,2000,6949366,2254838685,57.2,89.3,5.98
Africa,Benin,2005,8182362,2727160225,58.6,78.8,5.55
Africa,Benin,2010,9509798,3336801340,60.8,71,5.1
Africa,Benin,2015,10879829,,62.3,64.2,4.69
Asia,Bhutan,1960,224108,,35.94,175,6.67
Asia,Bhutan,1965,252629,,38.68,,6.67
Asia,Bhutan,1970,291457,,42.31,181.2,6.67
Asia,Bhutan,1975,349146,,47.21,157.1,6.69
Asia,Bhutan,1980,412561,,52.12,134.3,6.55
Asia,Bhutan,1985,469010,150142926.5,56.69,112.9,6.31
Asia,Bhutan,1990,535505,259814622.2,61.4,93.3,5.64
Asia,Bhutan,1995,508897,315112476.5,63.8,75.3,4.6
Asia,Bhutan,2000,564187,427808817.3,65.9,59,3.61
Asia,Bhutan,2005,651163,635666173.1,69.3,45.3,2.79
Asia,Bhutan,2010,720246,961365501.9,71.4,34.1,2.38
Asia,Bhutan,2015,774830,,72.7,27.2,2.15
Americas,Bolivia,1960,3693451,3001815692,43.77,173.4,6.7
Americas,Bolivia,1965,4070590,3810638169,45.62,159.4,6.59
Americas,Bolivia,1970,4505774,3909176407,47.44,144.4,6.58
Americas,Bolivia,1975,5009259,5179549165,50.19,127.9,6.18
Americas,Bolivia,1980,5589572,5732694165,54.21,112.3,5.52
Americas,Bolivia,1985,6211549,5199582624,58.22,99.5,5.13
Americas,Bolivia,1990,6856246,5801025729,61.6,85.6,4.91
Americas,Bolivia,1995,7566716,7091063596,64.4,72.2,4.58
Americas,Bolivia,2000,8339512,8397858206,67.6,58.8,4.14
Americas,Bolivia,2005,9125405,9777941879,70.2,46.6,3.72
Americas,Bolivia,2010,9918245,12240412986,71.8,36.8,3.36
Americas,Bolivia,2015,10724705,,73.2,30.6,3.14
Europe,Bosnia and Herzegovina,1960,3214520,,62.56,105,4.05
Europe,Bosnia and Herzegovina,1965,3524596,,66.14,,3.5
Europe,Bosnia and Herzegovina,1970,3745637,,69.49,60,2.88
Europe,Bosnia and Herzegovina,1975,3971608,,72.71,,2.41
Europe,Bosnia and Herzegovina,1980,4144726,,74.82,30.7,2.09
Europe,Bosnia and Herzegovina,1985,4369527,,76.95,24.1,1.95
Europe,Bosnia and Herzegovina,1990,4526996,,72.7,16.2,1.71
Europe,Bosnia and Herzegovina,1995,3879278,1622124020,67,12.3,1.53
Europe,Bosnia and Herzegovina,2000,3792878,5505984456,75.7,7.9,1.38
Europe,Bosnia and Herzegovina,2005,3833377,7012968257,77,7.1,1.2
Europe,Bosnia and Herzegovina,2010,3835258,8209376700,77.9,6.4,1.24
Europe,Bosnia and Herzegovina,2015,3810416,,78.9,5.1,1.32
Africa,Botswana,1960,524029,124460933,50.34,115.5,6.62
Africa,Botswana,1965,595741,169037837.2,52,99.8,6.69
Africa,Botswana,1970,693021,283867117.2,54.3,85.3,6.64
Africa,Botswana,1975,822029,645939309.4,57.45,69.5,6.48
Africa,Botswana,1980,996331,1149554148,60.24,54.7,6.22
Africa,Botswana,1985,1182942,1850201316,62.44,44.4,5.57
Africa,Botswana,1990,1379814,3228872988,62.3,41.8,4.7
Africa,Botswana,1995,1576291,3937459475,56.8,48.9,3.99
Africa,Botswana,2000,1736579,5632391130,47.6,52.4,3.41
Africa,Botswana,2005,1864003,7277848792,49.3,44.8,3.02
Africa,Botswana,2010,2047831,8408166868,55.6,39.8,2.76
Africa,Botswana,2015,2262485,,58.7,34.8,2.54
Americas,Brazil,1960,72493585,105343379555,55.27,129.4,6.21
Americas,Brazil,1965,84130061,131490572734,57.66,114.5,5.82
Americas,Brazil,1970,95982453,191092206861,59.73,102.5,5.02
Americas,Brazil,1975,108431284,311611051518,61.84,89.8,4.5
Americas,Brazil,1980,122199721,430378734063,63.81,75.9,4.07
Americas,Brazil,1985,136836428,454246661387,65.76,61.4,3.45
Americas,Brazil,1990,150393143,501771963327,67.9,50.9,2.81
Americas,Brazil,1995,162755054,583625429866,69,39.7,2.5
Americas,Brazil,2000,175786441,644701831101,70.7,28.1,2.36
Americas,Brazil,2005,188479240,739613124999,72.4,19.5,2.07
Americas,Brazil,2010,198614208,919487274118,73.6,14.8,1.84
Americas,Brazil,2015,207847528,,74.4,14.6,1.78
Asia,Brunei,1960,81825,,62.52,63,6.49
Asia,Brunei,1965,102525,,65.21,,6.07
Asia,Brunei,1970,129729,,67.38,58,5.75
Asia,Brunei,1975,160799,3559959840,69.32,,5.37
Asia,Brunei,1980,193057,5774494578,70.95,19,4.25
Asia,Brunei,1985,223049,4793390472,72.41,11.2,3.79
Asia,Brunei,1990,256939,4809288783,73.8,9.4,3.53
Asia,Brunei,1995,295010,5617214140,74.7,8.3,2.93
Asia,Brunei,2000,330554,6001153318,75.9,7.6,2.4
Asia,Brunei,2005,361889,6649465293,76.7,7.3,2.18
Asia,Brunei,2010,393302,6871522907,77.1,7.7,2.05
Asia,Brunei,2015,423188,,77.1,8.6,1.96
Europe,Bulgaria,1960,7866472,,69.22,49,2.25
Europe,Bulgaria,1965,8206564,,71.35,39.4,2.17
Europe,Bulgaria,1970,8494765,,71.32,34.1,2.14
Europe,Bulgaria,1975,8727332,,71.11,29.8,2.19
Europe,Bulgaria,1980,8865235,11464296023,71.17,24.5,2.11
Europe,Bulgaria,1985,8960387,13514491918,71.15,19.7,2
Europe,Bulgaria,1990,8821111,14564231602,71.4,18.4,1.77
Europe,Bulgaria,1995,8358116,12757701010,71,19.4,1.34
Europe,Bulgaria,2000,8000510,12903546576,71.6,17.9,1.18
Europe,Bulgaria,2005,7682614,16846951092,72.6,13.6,1.33
Europe,Bulgaria,2010,7407297,19246713609,73.7,11.2,1.49
Europe,Bulgaria,2015,7149787,,74.8,9.3,1.57
Africa,Burkina Faso,1960,4829291,596612183,35.21,161.3,6.29
Africa,Burkina Faso,1965,5174869,690321892.2,37.8,153,6.45
Africa,Burkina Faso,1970,5624597,795164206.9,40.27,149.3,6.62
Africa,Burkina Faso,1975,6154548,924331633.7,43,136.6,6.86
Africa,Burkina Faso,1980,6822840,1100637952,47.61,117.6,7.13
Africa,Burkina Faso,1985,7727912,1344647048,51.08,109,7.14
Africa,Burkina Faso,1990,8811033,1555627403,51.4,102.5,7.01
Africa,Burkina Faso,1995,10089876,1884580260,51.3,101.4,6.84
Africa,Burkina Faso,2000,11607944,2610945549,52.6,96.2,6.59
Africa,Burkina Faso,2005,13421929,3581061359,55.9,86,6.27
Africa,Burkina Faso,2010,15632066,4655655008,59,69.7,5.87
Africa,Burkina Faso,2015,18105570,,60.9,60.9,5.43
Africa,Burundi,1960,2786740,341126765,40.58,145.1,6.95
Africa,Burundi,1965,3079034,369224405.1,41.95,143.6,7.18
Africa,Burundi,1970,3457113,524049197.5,42.76,146.4,7.31
Africa,Burundi,1975,3676991,538497271.6,44.02,145.7,7.42
Africa,Burundi,1980,4126544,658995547.9,45.93,131.1,7.45
Africa,Burundi,1985,4774258,849234363,47.08,106.9,7.52
Africa,Burundi,1990,5613141,1019207023,45.6,103.9,7.54
Africa,Burundi,1995,6239030,897481512.4,44.5,103.2,7.32
Africa,Burundi,2000,6767073,835334806.6,46.7,93.4,7.06
Africa,Burundi,2005,7934213,930329534.1,54.7,79.7,6.73
Africa,Burundi,2010,9461117,1158914103,60.4,63.8,6.3
Africa,Burundi,2015,11178921,,61.4,54.1,5.85
Asia,Cambodia,1960,5722370,,42.29,,6.97
Asia,Cambodia,1965,6467196,,43.45,,6.87
Asia,Cambodia,1970,7022185,,43.28,,6.48
Asia,Cambodia,1975,7551988,,21.69,178.2,5.62
Asia,Cambodia,1980,6718241,,28.16,117.3,5.69
Asia,Cambodia,1985,7743065,,55.5,87.5,6.21
Asia,Cambodia,1990,9008856,,57.6,85.4,5.62
Asia,Cambodia,1995,10694459,2567702131,58.1,87.6,4.62
Asia,Cambodia,2000,12197905,3654031716,60,80.4,3.75
Asia,Cambodia,2005,13320058,5710753630,64,53.3,3.23
Asia,Cambodia,2010,14363586,7888819881,67,36.7,2.97
Asia,Cambodia,2015,15577899,,69.4,24.6,2.8
Africa,Cameroon,1960,5361367,2537944080,43.46,166.9,5.65
Africa,Cameroon,1965,5987671,3146047697,46.13,152.2,5.95
Africa,Cameroon,1970,6770967,3372153343,48.97,126.2,6.21
Africa,Cameroon,1975,7740196,4649893779,52.13,114.3,6.39
Africa,Cameroon,1980,8932121,6338843529,55.06,109.2,6.61
Africa,Cameroon,1985,10381098,9903824534,57.17,92.4,6.7
Africa,Cameroon,1990,12070359,8792662258,58.4,85.6,6.43
Africa,Cameroon,1995,13929575,7990255903,56.5,93,5.99
Africa,Cameroon,2000,15927713,10075040331,54.3,91.9,5.62
Africa,Cameroon,2005,18126999,12086601214,54.9,77.8,5.36
Africa,Cameroon,2010,20590666,13986616694,57.8,66.2,5.02
Africa,Cameroon,2015,23344179,,59.4,57.1,4.63
Americas,Canada,1960,17909232,167894860728,71,27.8,3.91
Americas,Canada,1965,19693538,222038801086,71.74,23.1,3.15
Americas,Canada,1970,21439200,276920125854,72.58,18.5,2.31
Americas,Canada,1975,23140609,343347325297,73.41,14.2,1.83
Americas,Canada,1980,24515788,411965674557,75.05,10.3,1.68
Americas,Canada,1985,25848173,471722414995,76.31,8,1.61
Americas,Canada,1990,27662440,543644188640,77.4,6.8,1.72
Americas,Canada,1995,29299478,592056646975,78,5.7,1.67
Americas,Canada,2000,30701903,724918860683,79.2,5.2,1.51
Americas,Canada,2005,32256333,821941389978,80.2,5.3,1.57
Americas,Canada,2010,34126173,872784483603,81.3,4.9,1.63
Americas,Canada,2015,35939927,,81.7,4.3,1.68
Africa,Cape Verde,1960,202316,,50.12,,6.89
Africa,Cape Verde,1965,231427,,51,,6.99
Africa,Cape Verde,1970,270197,,53.78,112.4,6.94
Africa,Cape Verde,1975,272575,,58.3,78,6.77
Africa,Cape Verde,1980,285599,168002515.5,62.41,62.6,6.38
Africa,Cape Verde,1985,313976,231351490.4,66.12,58,5.88
Africa,Cape Verde,1990,341256,280055742.5,68.7,48.2,5.31
Africa,Cape Verde,1995,389156,360942910,68.3,43.7,4.55
Africa,Cape Verde,2000,438737,539227052.7,68.4,29.1,3.7
Africa,Cape Verde,2005,474224,700664444.4,69.3,23.2,2.9
Africa,Cape Verde,2010,490379,971606714.9,71.1,23.3,2.43
Africa,Cape Verde,2015,520502,,72.9,20.7,2.22
Africa,Central African Republic,1960,1503501,534982718,37.43,165.5,5.84
Africa,Central African Republic,1965,1648830,553164890.8,39.92,151.7,5.94
Africa,Central African Republic,1970,1828710,647622869,43.36,137,5.95
Africa,Central African Republic,1975,2017379,712482410.3,47.6,126,5.95
Africa,Central African Republic,1980,2274095,735280403.1,50.61,118.4,5.95
Africa,Central African Republic,1985,2627424,815141622.8,50.57,115.7,5.94
Africa,Central African Republic,1990,2937832,814596168.9,48.4,115.3,5.78
Africa,Central African Republic,1995,3335840,855310801,46.7,115.4,5.6
Africa,Central African Republic,2000,3726048,959413050.6,45.3,113.6,5.45
Africa,Central African Republic,2005,4055608,913888742.9,45.5,109.3,5.09
Africa,Central African Republic,2010,4444973,1054122016,47.9,101.7,4.63
Africa,Central African Republic,2015,4900274,,49.6,91.5,4.2
Africa,Chad,1960,3002596,750173439,40.95,,6.25
Africa,Chad,1965,3310921,773471780.2,43.01,,6.34
Africa,Chad,1970,3644911,829387598.2,45.72,135.9,6.53
Africa,Chad,1975,4088858,859674572.8,48.45,130,6.78
Africa,Chad,1980,4512795,664885432.3,50.56,126.6,6.96
Africa,Chad,1985,5092650,1017551897,52.51,121.5,7.12
Africa,Chad,1990,5958022,1105729319,53.7,115.8,7.31
Africa,Chad,1995,7001634,1218135979,53.6,110.9,7.43
Africa,Chad,2000,8343321,1385050964,51.5,105.7,7.35
Africa,Chad,2005,10067932,3017980987,53,100.4,7.07
Africa,Chad,2010,11896380,3369354207,55.8,93.6,6.6
Africa,Chad,2015,14037472,,57.4,85,6.04
Americas,Chile,1960,7695692,14087170195,56.85,127.6,5.58
Americas,Chile,1965,8612074,16868577798,59.03,96.5,5
Americas,Chile,1970,9561868,21083602246,61.74,67.6,4.02
Americas,Chile,1975,10420590,19686893963,65.02,55.3,3.16
Americas,Chile,1980,11234340,27950035375,68.7,28.2,2.68
Americas,Chile,1985,12108576,29213486581,71.42,18.9,2.66
Americas,Chile,1990,13141202,40455626742,73.1,16,2.62
Americas,Chile,1995,14193986,61358713993,75.4,11,2.39
Americas,Chile,2000,15170387,75210511780,77.3,9.2,2.09
Americas,Chile,2005,16096571,91287855656,78.2,7.7,1.94
Americas,Chile,2010,17015048,110041983987,78.5,7.6,1.86
Americas,Chile,2015,17948141,,79.4,7,1.8
Asia,China,1960,644450173,70348527260,30.53,190,3.99
Asia,China,1965,706590947,71616855292,54.28,81,6.02
Asia,China,1970,808510713,100071867825,61,80.4,5.75
Asia,China,1975,905580445,133358210623,60.78,62.6,3.58
Asia,China,1980,977837433,182941120439,63.92,48,2.32
Asia,China,1985,1052622410,304461029668,65.87,42.2,2.65
Asia,China,1990,1154605773,444598557323,66.7,42.1,2.43
Asia,China,1995,1227841281,792785674302,68.4,37.7,1.68
Asia,China,2000,1269974572,1198474934199,69.8,30.2,1.45
Asia,China,2005,1305600630,1908786395477,71.9,20.3,1.51
Asia,China,2010,1340968737,3246008231781,74.3,13.5,1.54
Asia,China,2015,1376048943,,76.2,9.2,1.57
Americas,Colombia,1960,16480384,19017657851,58.03,89.3,6.81
Americas,Colombia,1965,19144220,23858682287,60.7,80.9,6.56
Americas,Colombia,1970,22061214,31746189470,62.83,70.4,5.6
Americas,Colombia,1975,24756969,41791408981,65.04,58.4,4.63
Americas,Colombia,1980,27737905,54283406011,68.07,44.6,3.99
Americas,Colombia,1985,31011686,60653293472,70.48,34.1,3.43
Americas,Colombia,1990,34271563,77192529433,71.5,28.9,3.1
Americas,Colombia,1995,37441980,94512961181,72,25,2.87
Americas,Colombia,2000,40403959,100363791871,73.3,21.2,2.64
Americas,Colombia,2005,43285636,119887295312,75.1,18.4,2.5
Americas,Colombia,2010,45918101,149691353901,76.4,15.9,2.38
Americas,Colombia,2015,48228704,,78,13.6,2.23
Africa,Comoros,1960,188732,,44.04,200,6.79
Africa,Comoros,1965,205412,,46.18,,7
Africa,Comoros,1970,228443,,48.61,151.5,7.06
Africa,Comoros,1975,256309,,51.03,136.2,7.05
Africa,Comoros,1980,308518,135611414.1,53.15,119,7.13
Africa,Comoros,1985,357729,167253101.6,55.36,101.8,6.58
Africa,Comoros,1990,415144,180930393.8,57.1,87.9,5.57
Africa,Comoros,1995,479574,187800932.8,58.9,76.9,5.25
